,E1,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E2,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E3,E30,E31,E32,E33,E34,E35,E36,E37,E38,E4,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E5,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E6,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E7,E70,E71,E72,E73,E74,E75,E8,E9,XH221,XH222,XH227,XH228,XH229,XH232,XH234,XH235,XH236,XH237,XH238,XH239_2,XH240,XH241,XH243,XH249,XH250_2,XH251,XH253,XH254,XH255,XH256,XH257,XH258,XH259,XH260,XH261,XH262,XH265,XH272,XH273,XH274,XH427_1,XH427_2
d__Bacteria.p__Actinobacteriota.c__Thermoleophilia.o__Gaiellales.__.__,0,0,0,0,0,0,0.000194272,0.000230674,0,0,0,0,0,0,0.000136969,0,0,0,0.000183923,0.000359355,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000639229,0.000324909,0.00042202,0.00024051,0,0,0,0,0,0,0.000112259,0,0,0,0,0,0,0,0,0,0,0.00027274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000453836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000159984,0,0,0.000165296,0,0,0,0,0,0,0,0,0,0,0.000249835,0,0
d__Bacteria.p__Actinobacteriota.c__Thermoleophilia.o__Gaiellales.f__Gaiellaceae.g__Gaiella,0,0.000663671,0,0.000823672,0.000200708,0.000671817,0.000521467,0.000992899,0,0.000412189,0,0,0.001638343,0,0.000903994,0.000314609,0.001315885,0.001840867,0.00194141,0.003604118,0.000282446,0.000150477,0.000266294,0,0.000199253,0,0,0,0,0,0,0,0.000311333,0.002937995,0.000477211,0.004267092,0.000805187,0,0,0,0,0,0,0.00013471,0,0,0,0,0,0,0,0,0,0,0.000867808,0,0,0,0.000290453,0,0,0,0,0,0,0,0,0,0,0,0,0.000321467,0,0,0.000216197,0,0.000142728,0.000562374,0.000519586,0,0,0,0.000349892,0.000355621,0,0,0.000399466,0,0.000363683,0.000807905,0,0.000741743,0.000375774,0.000253799,0.000475226,0.000356386,0,0,0.000132517,0.000487198,0.000312302,0.00045736,0.000597118,0.00035065,0.001073677,0.003656681,0.00022767,0.000886475
d__Bacteria.p__Actinobacteriota.c__Thermoleophilia.o__Gaiellales.f__uncultured.g__uncultured,0,0,0,0.000145967,0.000559869,0.000835465,0.000930461,0.001945681,0,0.000693683,0.00020261,0.000391617,0,0,0,0.00030376,0.001460943,0.001431786,0.001563346,0.004787875,0,0.000250795,0,0.000321109,0,0.000172806,0,0,0,0,0,0,0.000408624,0.005863697,0.00154332,0.002860358,0.001453519,0,0,0,0,0,0,0.000538841,0,0,0,0,0,0,0,0,0,0,0.002008356,0,0,0,0.001282,0,0,0,0,0,0,0,0,0,0,0,0,0.001011677,0.000250718,0.000718194,0.000228914,0,0,0.000214238,0.000429223,0.000153867,0.000110049,0.000125111,0.000249923,0.000270272,0.000136613,0,0.000185118,0.004832024,0.000177801,0.000621465,0,0.000596303,0.000331565,0,0.00061986,0.000142554,0.00020496,0.00021582,0.001828735,0.000209999,0.000273264,0.000148333,0.000365976,0.000329398,0.000212801,0.000772218,0.00022767,0.000528113
d__Bacteria.p__Actinobacteriota.c__Thermoleophilia.o__Solirubrobacterales.__.__,0,0,0,0.000594295,0,0,0.000531692,0.000180527,0,0,0,0,0.000213697,0,0.000538744,0.000282063,0.000331562,0.000388628,0.001134192,0.000750417,0.000171485,0,0,0,0.000241201,0,0,0,0,0,0,0,0,0.000626936,0,0.000808872,0.000397365,0,0,0,0,0,0,0.000246969,0,0,0,0,0,0,0,0,0,0,0.00013637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099085,0.000135544,0,0,0,0,0,0,0,0,0,0,0.00018644,0,0.000203616,0,0,0.000144634,0,0,0,0,0,0,0,0.000115571,0,0,0.000158986,0,0
d__Bacteria.p__Actinobacteriota.c__Thermoleophilia.o__Solirubrobacterales.f__67.14.g__67.14,0.000296946,0.001014468,0,0.002835933,0.000496488,0.000714882,0.003558246,0.001624744,0,0.001146086,0,0.000515789,0.002493131,0,0.003369432,0.002202261,0.00454861,0.003211291,0.00762259,0.008349716,0.001613977,0.000461463,0,0.000261957,0.000870422,0.000441616,0,0,0,0,0,0,0.000398895,0.010018685,0.001462092,0.010386383,0.002007738,0,0,0,0,0,0,0.002020656,0,0,0,0,0,0,0,0,0,0,0.001995958,0,0,0,0.003435359,0,0,0,0,0,0,0,0,0,0,0,0,0.003451047,0.000595456,0.000918865,0.000311578,0.000259345,0.00047576,0.000490962,0.001084354,0.000230801,0.00337267,0,0.000379882,0.000419633,0,0.000209717,0.000263063,0.000109075,0.000290947,0.000870052,0.000139779,0.000829007,0.000209991,0.000253799,0.00072317,0.000329657,0.004040641,0,0.000675837,0.004729185,0.000409896,0.000185416,0.00071269,0.00027627,0.004710639,0.000953917,0.00022767,0.000697863
d__Bacteria.p__Actinobacteriota.c__Thermoleophilia.o__Solirubrobacterales.f__Solirubrobacteraceae.__,0,0.000208582,0,0.000750688,0.000359161,0.000232552,0.000541917,0.000320937,0,0,0,0,0.000152641,0,0.000392644,0.000216972,0.001046491,0.000542033,0.000980923,0.001120342,0,0,0,0,0.000199253,0.000144005,0,0,0,0,0,0,0,0.001118651,0.000700586,0.001465347,0.000230053,0,0,0,0,0,0,0.000112259,0,0,0,0,0,0,0,0,0,0,0.000396712,0,0,0,0.000290453,0,0,0,0,0,0,0,0,0,0,0,0,0.000359287,0,0.000274603,0.000127175,0,0.000174445,0.000124972,0.000271088,0,0.000122996,0,0.00015995,0.000163586,0,0,0.000204605,0,0.000210128,0.000590392,0,0.000334511,0.000221043,0.000142128,0.000144634,0.000285108,0,0,0,0.000226799,0,0.0002225,0.000558595,0,0,0.000181698,0,0.000377223
d__Bacteria.p__Actinobacteriota.c__Thermoleophilia.o__Solirubrobacterales.f__Solirubrobacteraceae.g__Conexibacter,0,0,0,0,0.000464797,0.000499556,0.00031697,0.000802343,0,0.000271441,0,0.000181481,0,0,0,0.000130183,0.001450582,0.000368173,0.000674385,0.002251252,0,0,0,0,0.000115357,0,0,0,0,0,0,0,0,0.002556916,0.00083258,0.00219216,0.000867928,0,0,0,0,0,0,0.000224517,0,0,0,0,0,0,0,0,0,0,0.001239726,0,0,0,0.000520812,0,0,0,0,0,0,0,0,0,0,0,0,0.000434926,0.000104466,0.000411905,0,0.000103738,0.000364749,0.000294577,0.000745493,0,0,0,0.000479851,0.000355621,0,0,0.000360494,0,0.000274783,0.000590392,0,0.000349055,0.000298408,0.000192888,0.00020662,0.000507849,0,0,0,0.000461999,0.000146391,0.000444999,0.000423761,0.000308147,0.00017411,0.000567808,0.000163922,0.000584696
d__Bacteria.p__Actinobacteriota.c__Thermoleophilia.o__Solirubrobacterales.f__Solirubrobacteraceae.g__Parviterribacter,0.000181999,0.000199101,0,0.000208524,0,0,0.000163598,0.000120351,0,0,0,0.000181481,0.00010176,0,0,0.000444792,0.001056852,0.000265903,0.000357628,0.000359355,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000528593,0.000121841,0.001090219,0.00024051,0,0,0,0,0,0,0.000179614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000180281,0,0,0,0,0,0,0,0,0,0,0,0,0.000132369,0.000365631,0.00031685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Actinobacteriota.c__Thermoleophilia.o__Solirubrobacterales.f__Solirubrobacteraceae.g__Solirubrobacter,0,0.000132734,0,0.000531737,0,0.0001981,0.001891596,0.000922694,0,0.000331762,0.000364697,0.000238791,0.000773379,0,0.000648319,0.00060752,0.001170827,0.001032931,0.002666885,0.00342444,0,0.000130413,0.00019972,0,0.000178279,0.000240008,0,0,0,0,0,0,0.000282145,0.003982888,0.000893501,0.004138141,0.000637875,0,0,0,0,0,0,0.001156264,0,0,0,0,0,0,0,0,0,0,0.000421507,0,0,0,0.000981531,0,0,0,0,0,0,0,0,0,0,0,0,0.001002222,0.000334291,0.00050696,0.000184403,0,0.000174445,0.000241018,0.000474405,0.000205156,0.000103575,0.000115487,0.000249923,0.000241822,0,0,0.000204605,0.00026178,0.000234374,0.000621465,0,0.000552671,0.000309461,0.00015228,0.000433902,0.000222741,0.00016592,0.000157714,0.000251782,0.000243599,0.000224467,0.000284305,0.000539333,0.000223141,0.000193455,0.000499671,0.00020035,0.00243309
d__Bacteria.p__Actinobacteriota.c__Thermoleophilia.o__Solirubrobacterales.f__Solirubrobacteraceae.g__Solirubrobacteraceae,0,0.000255987,0,0,0,0.000155035,0.000408994,0.000461347,0,0,0,0,0.000712323,0,0.000164363,0,0,0.000306811,0.000613077,0.001733359,0.000474106,0,0.000133147,0,0.00020974,0,0,0,0,0,0,0,0.000107021,0.000639229,0.000365523,0.00198115,0.000606504,0,0,0,0,0,0,0.000258195,0,0,0,0,0,0,0,0,0,0,0.00076863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000177592,0,0,0,0.000142728,0,0.00031627,0,0,0,0.000239926,0.000184923,0,0,0,0,0,0,0,0.000189072,0.000165782,0,0,0.000151464,0,0,0.000119265,0.000310799,0,0.000358472,0.000154095,0,0,0,0,0.000584696
d__Bacteria.p__Actinobacteriota.c__Thermoleophilia.o__Solirubrobacterales.f__Solirubrobacteraceae.g__uncultured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000191756,0,0,0,0,0.000116262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000158587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000135972,0,0,0,0,0,0
d__Bacteria.p__Actinobacteriota.c__Thermoleophilia.o__uncultured.f__uncultured.g__uncultured,0,0,0,0,0,0,0,0,0,0.000130694,0,0,0,0,0,0,0,0,0,0.000158539,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000381079,0,0.000105505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000160734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Armatimonadota.c__Fimbriimonadia.o__Fimbriimonadales.f__Fimbriimonadaceae.g__Fimbriimonadaceae,0,0,0,0.000281508,0,0,0,0.00014041,0,0,0,0,0.000132289,0,0.0002922,0,0.000373007,0.00010227,0.000143051,0.000264232,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110636,0,0.000199287,0,0,0,0,0,0,0,0.000202066,0,0,0,0,0,0,0,0,0,0,0.000185959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115825,0,0,0,0,0,0,0.000154095,0,0,0,0,0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides,0,0,0,0.000406623,0,0,0.000378319,0,0,0,0,0,0,0,0.000776156,0,0,0,0,0,0,0,0,0,0,0,0,0.008378324,0,0,0,0.000104976,0,0.000135222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013380942,0,0,0,0,0.003199008,0,0.005025921,0.00297798,0,0.00026178,0.00196389,0,0,0,0,0,0.004814249,0,0,0,0,0,0,0.001730553,0,0,0,0,0.00022767,0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidales_Incertae_Sedis.g__Phocaeicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000828261,0,0,0,0,0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017568,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculaceae,0,0,0,0,0,0,0,0,0,0.000221174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013597608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000209322,0,0,0,0,0.000139373,0,0,0,0,0,0,0,0,0,0,0,0,0.00011873,0,0,0,0,0,0,0,0,0,0,0,0,0.004139112,0,0.004247052,0.002598646,0,0,0,0.00026316,0.000359508,0,0.000555355,0.000316318,0,0,0.000209668,0.002254316,0,0.000761398,0,0,0.011028802,0.000788572,0.001391429,0,0,0,0,0.000201889,0,0.011719548,0.003223809,0.012674702
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__p.2534.18B5_gut_group.g__p.2534.18B5_gut_group,0,0,0.000260661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Porphyromonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000771271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella,0,0,0.000139019,0,0,0,0,0.000130381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000813532,0,0,0,0,0,0,0,0.000140673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136948062,0.002870085,0.166896617,0.011738451,0.033660145,0.012924844,0.001806094,0.008392039,0.059421579,0.005149397,0.017213239,0.022048235,0.004793593,0.005671902,0.019347956,0.135013362,0.024880606,0,0.147977454,0.034719755,0.033389809,0.012999162,0.00217648,0.007138647,0,0.004393186,0.008354072,0.018133722,0,0.00262456,0.008444328,0.05423698,0.004152703,0.000188612
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotellaceae_Ga6A1_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000251492,0,0,0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes,0,0,0,0.000114688,0,0,0,0,0,0,0,0,0,0,0.000109575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002778767,0,0,0.000919438,0.002643112,0.001273678,0.000420775,0,0.003588887,0.000376959,0.0004386,0.000573226,0,0.000938045,0.000396011,0.005220309,0.000364978,0,0,0,0,0.000614765,0.00181536,0.00077197,0,0.000579598,0,0.000803471,0,0,0.001895863,0.004224488,0.001220312,0.000245195
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae_RC9_gut_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003042821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00047576,0.00036599,0,0,0.000265412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000106916,0.00106384,0,0,0,0,0,0,0,0.000715785,0,0,0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__uncultured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000232091,0.000564768,0.000307734,0.000174783,0,0,0,0,0,0,0.000109075,0,0,0,0,0,0,0,0.000213831,0.00060512,0.000182617,0,0.000126,0,0,0,0,0.00115106,0.00088578,0.000373379,0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004722712,0,0,0,0,0,0,0,0,0,0,0,0.000133245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00050234,0,0,0.002579781,0.003524149,0.000410313,0.000122996,0,0.000949706,0.000227598,0.000373888,0.000713037,0,0.00122164,0.000614221,0.001398297,0.000287323,0,0,0,0,0.000596946,0.00122,0.000531248,0,0.000293999,0.000136632,0,0,0,0.000706112,0.00138545,0.000482661,0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Tannerella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000204411,0,0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.__.__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000117228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Chitinophagaceae.__,0,0,0,0.00055259,0.000200708,0.000189487,0.000572591,0.00028082,0,0.000120641,0,0.000420272,0.000254401,0,0.000356119,0.000282063,0.001150104,0.000337492,0.000643731,0.000391063,0.000181572,0,0.00019972,0,0,0,0,0,0,0,0,0,0.000175125,0.000921965,0.000182762,0.00071509,0.000386908,0,0,0,0,0,0,0.000235743,0,0,0,0,0,0,0,0,0,0,0.000334726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000141824,0.00039697,0.00038022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011712,0,0,0,0,0,0,0,0,0.000227123,0,0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Chitinophagaceae.g__Asinibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001225581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000587058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Chitinophagaceae.g__Chitinophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000186503,0,0,0.000232524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Chitinophagaceae.g__Chitinophagaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00022448,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Chitinophagaceae.g__Cnuella,0,0,0,0,0,0,0.000603266,0,0,0,0,0,0,0,0,0,0,0,0.000684603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000667499,0,0,0,0,0,0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Chitinophagaceae.g__Edaphobaculum,0,0,0,0,0,0,0,0,0,0,0,0,0.000132289,0,0.000155231,0,0.000124336,0,0.000112397,0.000306509,0.000121048,0,0,0,0,0,0,0,0,0,0,0,0,0.000270443,0,0.000140673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000151279,0,0,0,0,0,0.000205311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000203128,0.000431534,0,0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Chitinophagaceae.g__Ferruginibacter,0.000201157,0,0,0.000406623,0.000760577,0,0.000552142,0,0,0.000130694,0,0.000725925,0,0,0,0.000314609,0.001574917,0,0.000643731,0,0,0,0.000504056,0,0,0,0,0,0,0,0,0,0,0.001315337,0.000517824,0.001371565,0.000669246,0,0,0,0,0,0,0.000673552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000410641,0,0,0,0,0,0,0,0,0,0,0,0,0.000122914,0.000501436,0.001087852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Chitinophagaceae.g__Flavisolibacter,0,0,0,0,0.000221835,0,0.000214722,0,0,0.000150801,0,0.000553995,0,0,0,0.000358003,0.001460943,0,0.000551769,0.000243093,0,0,0.000209231,0,0,0,0,0,0,0,0,0,0,0.001856223,0.000294449,0.000797149,0.000365994,0,0,0,0,0,0,0.000168388,0,0,0,0,0,0,0,0,0,0,0.000483493,0,0,0,0.000120187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039697,0.001299085,0,0,0,0.000223164,0.000225907,0,0,0,0,0,0,0,0,0.00039267,0,0,0,0,0,0,0,0,0.00046848,0,0,0,0,0,0,0,0.000425602,0.001135615,0.000446233,0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Chitinophagaceae.g__Flavitalea,0,0,0,0.000344065,0,0,0.000194272,0,0,0,0,0.000152826,0.000162817,0,0.000356119,0.000162729,0.00055951,0.000122724,0.000480244,0.000317078,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000331907,0,0.000316515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000148767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012674,0,0,0,0.000428476,0,0.000145319,0,0,0,0,0,0,0,0.000283595,0,0,0,0,0,0,0,0,0,0,0,0.000352799,0,0,0,0,0,0,0,0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Chitinophagaceae.g__Niastella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001064,0,0.000100175,0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Chitinophagaceae.g__Parasegetibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000133899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017411,0,0,0
d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Chitinophagales.f__Chitinophagaceae.g__Puia,0,0.000227544,0,0.000239803,0,0,0,0,0,0,0,0.000286549,0.00010176,0,0,0,0.000424813,0.000204541,0.000173705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000363406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000148767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000369658,0,0,0,0,0.000112954,0,0,0,0,0,0,0,0,0,0,0.000155366,0,0,0,0,0,0,0,0,0,0,0,0,0.000134833,0,0,0,0,0
